nohup: ignoring input
Training mode
Episode 1 | Step 330 | Step Reward: -0.0
Episode 1 | Step 331 | Step Reward: -0.0
Episode 1 | Step 332 | Step Reward: -0.0
Episode 1 | Step 333 | Step Reward: -0.0
Episode 1 | Step 334 | Step Reward: -0.0
Episode 1 | Step 335 | Step Reward: -0.0
Episode 1 | Step 336 | Step Reward: -0.0
Episode 1 | Step 337 | Step Reward: -0.0
Episode 1 | Step 338 | Step Reward: -0.0
Episode 1 | Step 339 | Step Reward: -0.0
Episode 1 | Step 340 | Step Reward: -0.0
Episode 1 | Step 341 | Step Reward: -0.0
Episode 1 | Step 342 | Step Reward: -0.0
Episode 1 | Step 343 | Step Reward: -0.0
Episode 1 | Step 344 | Step Reward: -0.0
Episode 1 | Step 345 | Step Reward: -0.0
Episode 1 | Step 346 | Step Reward: -0.0
Episode 1 | Step 347 | Step Reward: -0.0
Episode 1 | Step 348 | Step Reward: -0.0
Episode 1 | Step 349 | Step Reward: -0.0
Episode 1 | Step 350 | Step Reward: -0.0
Episode 1 | Step 351 | Step Reward: -0.0
Episode 1 | Step 352 | Step Reward: -0.0
Episode 1 | Step 353 | Step Reward: -0.0
Episode 1 | Step 354 | Step Reward: -0.0
Episode 1 | Step 355 | Step Reward: -0.0
Episode 1 | Step 356 | Step Reward: -0.0
Episode 1 | Step 357 | Step Reward: -0.0
Episode 1 | Step 358 | Step Reward: -0.0
Episode 1 | Step 359 | Step Reward: -0.0
Episode 1 | Step 360 | Step Reward: -0.0
Episode 1 | Step 361 | Step Reward: -0.0
Episode 1 | Step 362 | Step Reward: -0.0
Episode 1 | Step 363 | Step Reward: -0.0
Episode 1 | Step 364 | Step Reward: -0.0
Episode 1 | Step 365 | Step Reward: -0.0
Episode 1 | Step 366 | Step Reward: -0.0
Episode 1 | Step 367 | Step Reward: -0.0
Episode 1 | Step 368 | Step Reward: -0.0
Episode 1 | Step 369 | Step Reward: -0.0
Episode 1 | Step 370 | Step Reward: -0.0
Episode 1 | Step 371 | Step Reward: -0.0
Episode 1 | Step 372 | Step Reward: -0.0
Episode 1 | Step 373 | Step Reward: -0.0
Episode 1 | Step 374 | Step Reward: -0.0
Episode 1 | Step 375 | Step Reward: -0.0
Episode 1 | Step 376 | Step Reward: -0.0001220703125
Episode 1 | Step 377 | Step Reward: -0.0
Episode 1 | Step 378 | Step Reward: -0.0
Episode 1 | Step 379 | Step Reward: -0.0
Episode 1 | Step 380 | Step Reward: -0.0
Episode 1 | Step 381 | Step Reward: -0.0
Episode 1 | Step 382 | Step Reward: -0.0
Episode 1 | Step 383 | Step Reward: -0.0
Episode 1 | Step 384 | Step Reward: -0.0
Episode 1 | Step 385 | Step Reward: -0.0
Episode 1 | Step 386 | Step Reward: -0.0
Episode 1 | Step 387 | Step Reward: -0.0
Episode 1 | Step 388 | Step Reward: -0.0
Episode 1 | Step 389 | Step Reward: -0.0
Episode 1 | Step 390 | Step Reward: -0.0
Episode 1 | Step 391 | Step Reward: -0.0
Episode 1 | Step 392 | Step Reward: -0.0
Episode 1 | Step 393 | Step Reward: -0.0
Episode 1 | Step 394 | Step Reward: -0.0
Episode 1 | Step 395 | Step Reward: -0.0
Episode 1 | Step 396 | Step Reward: -0.0
Episode 1 | Step 397 | Step Reward: -0.0
Episode 1 | Step 398 | Step Reward: -0.0
Episode 1 | Step 399 | Step Reward: -0.0
Episode 1 | Step 400 | Step Reward: -0.0
Episode 1 | Step 401 | Step Reward: -0.0
Episode 1 | Step 402 | Step Reward: -0.0
Episode 1 | Step 403 | Step Reward: -0.0
Episode 1 | Step 404 | Step Reward: -0.0
Episode 1 | Step 405 | Step Reward: -0.0
Episode 1 | Step 406 | Step Reward: -0.0
Episode 1 | Step 407 | Step Reward: -0.0
Episode 1 | Step 408 | Step Reward: -0.0
Episode 1 | Step 409 | Step Reward: -0.0
Episode 1 | Step 410 | Step Reward: -0.0
Episode 1 | Step 411 | Step Reward: -0.0
Episode 1 | Step 412 | Step Reward: -0.0
Episode 1 | Step 413 | Step Reward: -0.0
Episode 1 | Step 414 | Step Reward: -0.0
Episode 1 | Step 415 | Step Reward: -0.0
Episode 1 | Step 416 | Step Reward: -0.0
Episode 1 | Step 417 | Step Reward: -0.0
Episode 1 | Step 418 | Step Reward: -0.0
Episode 1 | Step 419 | Step Reward: -0.0
Episode 1 | Step 420 | Step Reward: -0.0
Episode 1 | Step 421 | Step Reward: -0.0
Episode 1 | Step 422 | Step Reward: -0.0
Episode 1 | Step 423 | Step Reward: -0.0
Episode 1 | Step 424 | Step Reward: -0.0
